dim,nx,ny,nz,unknowns,nnz,prec,nprocs,nparts,overlap,iters,tol,maxit,repeat,time_assemble_s,time_setup_s,time_solve_best_s,time_solve_avg_s,total_time_best_s,total_time_avg_s
3,40,40,40,64000,438400,as2,1,32,1,186,9.99999999999999980e-13,500000,1,4.96819400000000043e-03,3.31482989999999991e-02,3.53168401999999992e-01,3.53168401999999992e-01,3.91284894999999966e-01,3.91284894999999966e-01
3,40,40,40,64000,438400,as2,2,32,1,156,9.99999999999999980e-13,500000,1,4.97723399999999965e-03,1.71067910000000031e-02,1.41896243000000005e-01,1.41896243000000005e-01,1.63980268000000012e-01,1.63980268000000012e-01
3,40,40,40,64000,438400,as2,4,32,1,110,9.99999999999999980e-13,500000,1,9.00104699999999987e-03,1.22948439999999992e-02,6.00230220000000023e-02,6.00230220000000023e-02,8.13189129999999927e-02,8.13189129999999927e-02
3,40,40,40,64000,438400,as2,8,32,1,61,9.99999999999999980e-13,500000,1,7.36119399999999972e-03,8.77963000000000007e-03,3.05051789999999969e-02,3.05051789999999969e-02,4.66460029999999914e-02,4.66460029999999914e-02
3,40,40,40,64000,438400,as2,16,32,1,43,9.99999999999999980e-13,500000,1,1.25460980000000003e-02,7.24009699999999742e-03,1.58565510000000000e-02,1.58565510000000000e-02,3.56427460000000029e-02,3.56427460000000029e-02
3,80,80,80,512000,3545600,identity,1,32,1,274,9.99999999999999980e-13,500000,1,3.70181890000000000e-02,0.00000000000000000e+00,1.75375502999999999e+00,1.75375502999999999e+00,1.79077321900000008e+00,1.79077321900000008e+00
3,80,80,80,512000,3545600,as2,1,32,1,274,9.99999999999999980e-13,500000,1,3.70337580000000000e-02,2.82423262000000008e-01,5.03014311599999964e+00,5.03014311599999964e+00,5.34960013599999940e+00,5.34960013599999940e+00
3,80,80,80,512000,3545600,as2,2,32,1,257,9.99999999999999980e-13,500000,1,3.74854550000000009e-02,1.54410115999999986e-01,2.58274680599999984e+00,2.58274680599999984e+00,2.77464237699999972e+00,2.77464237699999972e+00
3,80,80,80,512000,3545600,as2,4,32,1,186,9.99999999999999980e-13,500000,1,4.43484249999999969e-02,8.61482169999999992e-02,1.07558969400000004e+00,1.07558969400000004e+00,1.20608633600000004e+00,1.20608633600000004e+00
3,80,80,80,512000,3545600,as2,8,32,1,109,9.99999999999999980e-13,500000,1,6.27708099999999963e-02,7.02366410000000024e-02,5.16432307999999951e-01,5.16432307999999951e-01,6.49439758999999950e-01,6.49439758999999950e-01
3,80,80,80,512000,3545600,as2,16,32,1,58,9.99999999999999980e-13,500000,1,9.09352630000000023e-02,6.21604420000000102e-02,2.45749650999999986e-01,2.45749650999999986e-01,3.98845356000000040e-01,3.98845356000000040e-01
3,160,160,160,4096000,28518400,identity,1,32,1,542,9.99999999999999980e-13,500000,1,2.95914754000000002e-01,0.00000000000000000e+00,2.98259501440000001e+01,2.98259501440000001e+01,3.01218648979999983e+01,3.01218648979999983e+01
3,160,160,160,4096000,28518400,as2,1,32,1,384,9.99999999999999980e-13,500000,1,2.97005342999999977e-01,2.26345034800000011e+00,5.96054547009999993e+01,5.96054547009999993e+01,6.21659103920000007e+01,6.21659103920000007e+01
3,160,160,160,4096000,28518400,as2,2,32,1,388,9.99999999999999980e-13,500000,1,3.03983225000000024e-01,1.16134311099999987e+00,3.45717510830000023e+01,3.45717510830000023e+01,3.60370774189999992e+01,3.60370774189999992e+01
3,160,160,160,4096000,28518400,as2,4,32,1,331,9.99999999999999980e-13,500000,1,3.45048420999999994e-01,7.13207893999999953e-01,1.93724544119999997e+01,1.93724544119999997e+01,2.04307107270000010e+01,2.04307107270000010e+01
3,160,160,160,4096000,28518400,as2,8,32,1,204,9.99999999999999980e-13,500000,1,4.76900992999999995e-01,5.83373370999999863e-01,1.02057623530000008e+01,1.02057623530000008e+01,1.12660367170000004e+01,1.12660367170000004e+01
3,160,160,160,4096000,28518400,as2,16,32,1,105,9.99999999999999980e-13,500000,1,1.27364753599999991e+00,6.87978368999999867e-01,5.31254721500000038e+00,5.31254721500000038e+00,7.27417312000000038e+00,7.27417312000000038e+00
